country_code,year,n_regions,mean_network,std_network,mean_elec,std_elec,cv_network,cv_elec
TR,2001,26,333.5,217.40896945618414,70.08,103.13782041520948,0.6519009578896076,1.4717154739613225
DE,2016,9,1230.7777777777778,950.7661092216342,,,0.772492099214111,
FR,2015,27,1077.7037037037037,684.0487957636904,591.7037037037037,506.52813839485265,0.6347280736002351,0.856050309004821
IT,1993,19,761.0,528.0826955442994,469.36842105263156,369.95558450025317,0.6939325828440203,0.7881987110904699
PL,2000,15,1374.2,494.4118005988819,702.0,429.61693901162033,0.35978154606235035,0.6119899416119948
FR,1996,25,1281.32,710.4323636584509,565.44,438.53877441643255,0.5544535039322347,0.775570837606877
IE,2014,3,560.0,172.71074083565273,145.0,,0.3084120372065227,
PL,2016,15,1161.3333333333333,400.688811684983,697.4666666666667,400.98928853999274,0.3450248091432116,0.5749225127222224
SE,2020,8,1363.75,521.9438256583338,1023.0,406.18046657683016,0.3827269115734803,0.39704835442505393
BG,2021,6,671.8333333333334,132.6550664945243,500.1666666666667,110.35473105701752,0.19745234407520362,0.22063591680843223
DE,2015,9,1216.0,935.4579092615551,643.8888888888889,508.4044758960242,0.769291043800621,0.7895841730913232
SE,2019,8,1362.375,516.0293284854484,1023.125,402.10710637838764,0.3787718715371674,0.39301855235517424
SK,2008,4,905.75,450.96147285549796,394.25,189.77947728877325,0.49788735617499086,0.4813683634464762
TR,2002,26,333.5,217.40896945618414,70.08,103.13782041520948,0.6519009578896076,1.4717154739613225
FR,1994,25,1288.88,726.4359526712133,547.88,448.00635412160545,0.5636179882310325,0.8177089036314621
CZ,2016,8,1195.5,536.8415568329794,402.0,163.48088573285867,0.4490519086850518,0.4066688699822355
FI,2019,4,1480.75,1074.6389703833872,832.75,454.33201882910845,0.7257396389555206,0.5455803288251078
IE,2018,3,560.0,172.71074083565273,151.0,,0.3084120372065227,
SK,2000,4,915.5,451.9369425041507,384.0,195.8128358067128,0.4936504014245229,0.5099292599133146
AL,2019,3,,,0.0,0.0,,
CZ,2008,8,1198.5,535.807801361645,384.875,158.99904537000035,0.4470653328007051,0.41311866286456733
HU,2015,6,1078.0,188.36241663346752,400.1666666666667,108.32805115327547,0.1747332250774281,0.27070733316103823
TR,2009,26,349.2307692307692,229.61259681338177,89.42307692307692,139.60004959223275,0.6574810040911813,1.5611188341496995
FR,2024,27,1020.8888888888889,659.8328071059617,622.5925925925926,521.1240262281627,0.6463316569387957,0.8370225287424387
IT,1995,19,764.2105263157895,526.9921545850109,477.42105263157896,372.07247140390297,0.6895902849252897,0.7793382159270373
NO,2017,6,704.5,259.3613309651229,423.1666666666667,332.0478379189762,0.36814951166092674,0.7846738981937208
ES,2015,19,845.1578947368421,824.8122522501641,537.578947368421,570.3881052785681,0.975926814843263,1.0610313295763456
PL,2012,15,1225.4666666666667,431.1976455452992,700.1333333333333,409.95467809897974,0.3518640345544276,0.5855380090920488
RO,2009,8,1348.0,523.2688464969854,500.25,157.90661797404184,0.3881816368671998,0.3156554082439617
SK,2013,4,907.75,451.9788896250207,396.5,189.98333260227506,0.49791119760398866,0.47915090189728893
BE,2008,11,325.3636363636364,159.04796303459705,,,0.48883140357098837,
FI,2015,4,1480.75,1073.090047479707,815.5,448.49712002048204,0.724693599513562,0.5499658124101557
FR,2006,25,1243.04,694.1542503891576,591.12,456.91504680848493,0.5584327538849575,0.7729649594134608
PL,2015,15,1168.6,401.2011964089839,702.8,395.7705323615116,0.3433178131173917,0.5631339390459755
RO,1994,8,1421.75,546.6855324851495,483.25,208.94343048504095,0.38451593633560716,0.4323712995034474
BG,2012,6,678.3333333333334,139.0002398079466,477.1666666666667,116.59402500414275,0.2049143584392333,0.2443465420974001
SK,2014,4,907.0,451.4916019890809,396.5,189.98333260227506,0.49778566922721157,0.47915090189728893
UA,2024,24,823.4166666666666,310.1361435502671,426.95454545454544,346.491321580694,0.3766454531528393,0.8115414750106748
ES,1992,19,686.3684210526316,778.3070809652844,362.7894736842105,424.86253710888246,1.1339494316647807,1.1710994059290247
DE,2019,9,1236.4444444444443,952.3343833852571,,,0.7702201159657903,
EL,2018,13,176.3846153846154,180.0331166117031,52.23076923076923,77.47811932641999,1.0206849175543569,1.4833807823909568
SK,2001,4,915.5,451.9369425041507,384.0,195.8128358067128,0.4936504014245229,0.5099292599133146
IT,2021,20,838.25,536.2728954749183,674.5555555555555,421.0847647267321,0.6397529322695118,0.6242403034986969
DE,2023,9,1284.0,940.3814385662872,,,0.7323842979488219,
ES,2010,19,833.578947368421,800.9097823926012,496.7894736842105,534.1131360538357,0.9608085531922859,1.0751297367330097
IT,2024,21,803.8095238095239,553.8106733395103,584.5714285714286,462.7055836521288,0.6889824727564998,0.7915295908027619
NO,2013,3,708.0,238.90583919192935,228.33333333333334,222.43500923490737,0.3374376259773013,0.9741679236565286
PT,2021,7,361.0,225.96754929266578,256.0,181.07364984079453,0.6259488900073844,0.7073189446906036
RO,1993,8,1422.5,546.8232934739652,469.75,194.86460501002813,0.38441004813635515,0.4148261948058076
NL,2007,12,233.41666666666666,129.68385217578754,169.91666666666666,116.33139053687282,0.5555895130701358,0.6846379040914536
EL,2020,13,180.3846153846154,181.29972350665554,56.23076923076923,85.69826315446718,1.0050730940667472,1.5240457195732877
HR,2019,4,654.25,449.8180187586976,242.5,154.80848383298206,0.6875323175524609,0.6383855003421941
HU,2011,6,1065.0,139.4517837820657,410.6666666666667,96.35489954676237,0.13094064204888797,0.23463043720802523
DE,2014,9,1207.5555555555557,899.3995373457659,,,0.7448100695723125,
EL,2002,13,193.53846153846155,190.72476477226522,6.846153846153846,24.6841587320227,0.9854618211603529,3.60555127546399
